,ACC,ADANIPORTS,AMBUJACEM
2007-10-30,865.73,,118.3601
2007-10-31,872.08,,118.6881
2007-11-01,852.37,,118.0321
2007-11-02,836.02,,118.6471
2007-11-05,817.4,,118.6061
2007-11-06,826.67,,118.0321
2007-11-07,829.38,,119.3441
2007-11-08,856.34,,120.574
2007-11-09,837.23,,118.8931
2007-11-12,825.25,,120.615
2007-11-13,833.79,,119.959
2007-11-14,846.1,,120.12299999999999
2007-11-15,846.83,,120.574
2007-11-16,841.24,,120.656
2007-11-19,877.79,,121.1889
2007-11-20,878.88,,121.4759
2007-11-21,874.71,,120.24600000000001
2007-11-22,894.02,,120.82
2007-11-23,901.43,,121.3529
2007-11-26,913.57,,121.5579
2007-11-27,900.21,171.0,122.3369
2007-11-28,872.45,157.8,123.4848
2007-11-29,861.24,158.16,124.0998
2007-11-30,882.69,165.65,122.7468
2007-12-03,884.23,174.74,124.6737
2007-12-04,879.73,187.05,126.2726
2007-12-05,885.12,193.29,126.3546
2007-12-06,874.59,194.37,126.2316
2007-12-07,861.88,196.14,125.6987
2007-12-10,861.48,191.42,123.8948
2007-12-11,870.34,186.51,123.4848
2007-12-12,869.17,184.89,123.8128
2007-12-13,861.2,201.69,119.67200000000001
2007-12-14,892.97,197.39,122.6239
2007-12-17,864.68,186.2,120.287
2007-12-18,862.77,193.46,119.46700000000001
2007-12-19,834.52,190.24,118.3191
2007-12-20,809.31,189.04,118.5241
2007-12-21,,,118.8931
2007-12-24,810.92,206.27,118.6881
2007-12-25,,,118.6881
2007-12-26,813.96,213.95,119.59
2007-12-27,812.58,216.05,119.67200000000001
2007-12-28,818.05,222.72,122.2139
2007-12-31,829.58,226.24,120.574
2008-01-01,832.46,231.24,121.8039
2008-01-02,828.17,233.13,121.3119
2008-01-03,815.13,227.49,118.8931
2008-01-04,809.22,221.16,117.5402
2008-01-07,811.01,218.83,116.8842
2008-01-08,797.61,214.83,116.4332
2008-01-09,785.22,210.45,116.3512
2008-01-10,760.01,199.98,115.9003
2008-01-11,727.5,193.62,113.6044
2008-01-14,709.57,184.58,113.1944
2008-01-15,703.87,187.14,112.4974
2008-01-16,693.95,183.73,112.1285
2008-01-17,696.14,182.03,107.4957
